Section,Category,Action Item / Description,Status / Notes
1. Cover Page,Executive Summary,"One-line summary of the incident (what happened, when, immediate impact).",
1. Cover Page,Key Requests,"Criminal investigation, insurance appeal, preservation order, employment verification.",
1. Cover Page,Immediate Status,"Devices preserved? Reports filed? Insurer denial?",
2. Timeline,Chronological Log,"Format: Date/Time — Event — Source/Evidence ID (e.g., 2026-03-01 09:12 — Unauthorized payroll change — EVID-001).",
3. Evidence Log,Chain of Custody,"Log: Evidence ID | Description | Original location | Collected by | Date/time | Storage | Notes.",
3. Evidence Log,Digital Devices,"Include: device type, make/model, IMEI/serial, last IP, current state, forensic image status.",
4. Communications,Call/Email Log,"Format: Date/time — Channel — From/To — Summary — Case/Ref #. Always record rep name and badge.",
5. Records Assembly,Financial,"Bank statements (highlight unauthorized transactions).",
5. Records Assembly,Employment,"Payroll records (pay stubs, employer exports, W-2s, 1099s).",
5. Records Assembly,Loan & Title,"Loan documents, title records, FHA/commercial loan files.",
5. Records Assembly,Insurance,"Policies, claim numbers, adjuster names, denial letters.",
5. Records Assembly,Legal,"Power of Attorney documents and contested POA entries.",
6. Reporting,IdentityTheft.gov,"Create recovery plan; include ID copies and summary.",
6. Reporting,FTC Report,"File identity-theft report and attach to IdentityTheft.gov record.",
6. Reporting,IC3 (FBI),"Include device identifiers, IP logs, cross-state device use, timeline.",
6. Reporting,IRS-CI,"Form 3949-A: Include payroll evidence, employer records, tax evasion details.",
6. Reporting,TIGTA,"File only if IRS employee misconduct is suspected.",
6. Reporting,State Ins. Comm.,"File complaint if insurer denies coverage improperly.",
6. Reporting,Local Police,"File report for theft/fraud; include copies in packet.",
7. Preservation,Immediate Steps,"Place devices in airplane mode; do NOT power on/off repeatedly. Photograph condition.",
7. Preservation,Forensics,"Create forensic images ONLY by qualified examiner; log chain of custody.",
8. Templates,A. Preservation,"Send to Insurer/Bank/Employer demanding preservation of records, device logs, and CCTV.",
8. Templates,B. Appeal/Demand,"Send to Insurer Appeals Unit demanding full file, rationale, and citing fraud/device theft.",
8. Templates,C. Employment Verif.,"Send to HR/Compliance requesting rep hire/fire dates, assigned devices, disciplinary records.",
8. Templates,D. Board Notice,"Request emergency review of claims handling, citing agent theft, conflict of interest.",
9. Appeal Path,Escalation Steps,"1. Internal appeal. 2. State Comm. 3. Independent appraisal. 4. Civil action. 5. Board action.",
10. Agent Scrutiny,Verification,"Require written employment verification and device assignment logs for claims reps.",
10. Agent Scrutiny,Compromised Agents,"If agents deceased/incarcerated, demand chain-of-custody for devices to prove claim validity.",
11. Legal Readiness,Paralegal Backup,"Maintain numbered exhibits, sworn statements, master mapping list, and metadata.",
12. Multi-State,Device Evidence,"Collect IMEI/MAC/IP/Geolocation. Note reuse by named individuals (e.g., Alex Buster Murdo).",
13. Immediate Actions,Day 1 Checklist,"File IC3/IDTheft; Send preservation notices; Place credit freezes; Deliver packet to PD/IRS.",
14. Evidence Sample,Log Entry,"EVID-001 | PayrollReport0301.pdf | Employer export | J. Gonzalez | 2026-03-02 10:00 | Secure vault",
15. Denial Notes,Insurer Reliance,"Demand disclosure on how records from imprisoned/deceased agents were authenticated.",
16. Lender Demands,Preservation,"Send notice to title/loan holders. Insist on hold of title transfers/lien releases.",
17. Admin Checklist,Appellate Posture,"Confirm internal appeal filed; File state complaint; Maintain notes; Prepare board petition.",
